id,component,category,用途,典型场景,特点,基础属性,复合/基础,来源文档段落
93,Popover,特殊功能,弹出层/悬浮面板,功能扩展;辅助说明,自定义内容;位置可调,内容组件,基础,-
94,Collapse,复合组件,折叠面板,FAQ;设置项,可展开收起,Panel+Button+Layout,复合,-
95,Drawer,复合组件,侧边抽屉,菜单;设置;导航,滑出/滑入;可自定义宽度,Panel+Button+Layout,复合,-
96,Affix,特殊功能,吸顶/吸底组件,导航栏;工具条,滚动固定,目标节点,基础,-
97,Divider,信息展示,分割线,内容分隔;布局,多种样式,线型;颜色,基础,-
98,Skeleton,特殊功能,骨架屏,加载占位;数据等待,动画;多样式,占位类型,基础,-
99,Empty,信息展示,无数据占位,列表为空;搜索无结果,自定义图标/文本,内容组件,基础,-
100,Pagination,交互,分页器,数据分页;列表,页码跳转;快速翻页,总页数;当前页,基础,-
101,ScrollBar,交互,自定义滚动条,大数据滚动,自定义皮肤,方向;长度,基础,-
102,Heatmap,信息展示,热力图,点击分布;活动统计,颜色渐变;区域分布,数据源,基础,-
103,RadarChart,信息展示,雷达图,属性分布;能力对比,多维属性展示,属性列表,基础,-
104,PieChart,信息展示,饼图,数据统计;占比分析,动态/静态,数据源,基础,-
105,BarChart,信息展示,柱状图,数据对比;统计,横向/纵向,数据源,基础,-
106,LineChart,信息展示,折线图,趋势分析;数据变化,多条折线,数据源,基础,-
107,Compass,游戏特色,罗盘,导航;方向指示,动态旋转,当前方向,基础,-
108,QuestTracker,游戏特色,任务追踪器,主线/支线任务,实时更新;高亮提示,任务列表,基础,-
109,BuffDebuffIndicator,游戏特色,增益减益状态,战斗;技能,图标显示;计时,状态列表,基础,-
110,ComboCounter,游戏特色,连击计数,格斗;音游,动态数值动画,当前连击数,基础,-
111,QuickChat,交互,快捷聊天,组队;对战,预设短语;表情,消息列表,基础,-
112,EmotePanel,交互,表情选择,聊天;互动,动画表情,表情列表,基础,-
113,VoiceChatButton,交互,语音聊天按钮,组队;公会,录音;语音发送,录音状态,基础,-
114,NotificationBadge,信息展示,动态角标,新消息;活动,数字/红点,显示内容,基础,-
115,CountdownBar,信息展示,动态倒计时条,副本;活动,动画进度,剩余时间,基础,-
116,MatchmakingStatus,信息展示,匹配状态,对战;组队,动态提示,当前状态,基础,-
117,ReplayBar,交互,回放进度条,录像;赛事,拖拽进度,当前时间,基础,-
118,SaveIndicator,信息展示,存档提示,自动保存;进度保存,动画提示,当前状态,基础,-
119,AchievementToast,信息展示,成就弹窗,成就达成,自动消失;动画,内容文本,基础,-
120,GiftBox,信息展示,礼包展示,奖励;签到,动画展示,奖励列表,基础,-
121,DailyReward,信息展示,每日奖励,签到;活跃,自动弹出,奖励列表,基础,-
122,SeasonPass,游戏特色,赛季通行证,成长奖励;活动,进度展示,奖励列表,基础,-
123,SocialShare,特殊功能,社交分享,分享;邀请,多平台支持,分享内容,基础,-
124,ARMarker,特殊功能,AR标记,AR识别;定位,图像识别,标记内容,基础,-
125,AccessibilityPanel,特殊功能,无障碍辅助,大字体;高对比度,支持多种辅助模式,模式列表,基础,-
126,LocalizationSwitcher,特殊功能,多语言切换,国际化;本地化,动态切换,当前语言,基础,-
127,ThemeSwitcher,特殊功能,主题切换,夜间模式;自定义皮肤,动态切换,当前主题,基础,-
128,FPSCounter,特殊功能,帧率显示,性能监控,实时刷新,当前帧率,基础,-
129,DebugPanel,特殊功能,调试面板,开发者工具,实时数据;日志,内容列表,基础,-
130,UpdatePrompt,特殊功能,更新提示,维护;新版本,弹窗提示,内容文本,基础,-
131,LegalNotice,特殊功能,法律声明,隐私政策;用户协议,可跳转链接,内容文本,基础,-
132,CookieConsent,特殊功能,Cookie授权,隐私提示,弹窗同意,当前状态,基础,-
133,GuideArrow,特殊功能,引导箭头,新手引导;任务指示,动态指向,目标节点,基础,-
134,OnboardingPanel,复合组件,新手引导面板,教学流程;首次进入,分步展示,Panel+Label+Button,复合,-
135,FeedbackForm,复合组件,反馈表单,用户建议;BUG反馈,多字段输入,Panel+EditBox+Button,复合,-
136,SurveyPanel,复合组件,问卷调查,用户调研;满意度,多题型支持,Panel+RadioButton+CheckBox,复合,-
137,WalkthroughPanel,复合组件,通关攻略面板,关卡攻略;新手教学,分步展示;图文结合,Panel+Label+Image,复合,-
138,MapMarker,信息展示,地图标记,地图导航;任务指示,自定义图标;动态高亮,位置;类型,基础,-
139,WorldMap,游戏特色,世界地图,大世界探索;区域切换,多层级缩放;区域高亮,地图数据,基础,-
140,PinInput,交互,密码输入,账号安全;解锁,多位数字输入,输入位数,基础,-
141,CalendarView,信息展示,日历视图,签到;活动;排期,多日期高亮;事件标记,日期列表,基础,-
142,Timeline,信息展示,时间轴,剧情回顾;进度展示,节点可自定义;动态动画,节点列表,基础,-
143,RewardWheel,游戏特色,转盘抽奖,抽奖;奖励,旋转动画;概率配置,奖品列表,基础,-
144,SpinButton,交互,旋转按钮,抽奖;小游戏,旋转反馈,旋转角度,基础,-
145,ReplayButton,交互,回放按钮,录像;赛事,可重复播放,当前状态,基础,-
146,ZoomControl,交互,缩放控制,地图;图片查看,放大缩小,缩放级别,基础,-
147,ImageCropper,特殊功能,图片裁剪,头像设置;图片编辑,自定义裁剪区域,裁剪参数,基础,-
148,AvatarEditor,复合组件,头像编辑器,角色创建;头像自定义,多功能编辑,Panel+Image+Button,复合,-
149,ItemSlot,信息展示,物品格子,背包;装备栏,可拖拽;状态高亮,物品数据,基础,-
150,EquipmentPanel,复合组件,装备面板,角色装备;属性展示,多部位展示,Panel+ItemSlot+Label,复合,-
151,SkillTree,复合组件,技能树,技能升级;分支选择,节点可解锁,Panel+TreeView+Button,复合,-
152,FriendRequestPanel,复合组件,好友申请面板,社交;好友管理,批量处理,Panel+ListView+Button,复合,-
153,MailPanel,复合组件,邮件面板,消息;奖励领取,多标签页,Panel+Tab+ListView,复合,-
154,ShopPanel,复合组件,商城面板,道具购买;礼包,多分类;筛选,Panel+Tab+GridView,复合,-
155,ChatPanel,复合组件,聊天面板,实时聊天;频道切换,多频道支持,Panel+Tab+ListView,复合,-
156,VoiceInput,交互,语音输入,聊天;指令,录音识别,录音数据,基础,-
157,EmotionAnimation,特效,表情动画,互动;聊天,动态表情,动画数据,基础,-
158,ParticleButton,特效,粒子按钮,特效按钮;交互反馈,粒子特效,粒子配置,基础,-
159,AnimatedIcon,特效,动态图标,状态指示;动画装饰,帧动画;循环播放,动画帧,基础,-
160,AnimatedProgressBar,特效,动态进度条,加载;技能冷却,动画进度,最大值;当前值,基础,-
161,CustomScrollbar,交互,自定义滚动条,大数据滚动,自定义皮肤,方向;长度,基础,-
162,OverlayMenu,复合组件,悬浮菜单,快捷操作;功能入口,自定义布局,Panel+Button+Icon,复合,-
163,ContextMenu,复合组件,右键菜单,快捷操作;编辑器,动态生成,Panel+Button+Label,复合,-
164,AppShortcut,信息展示,应用快捷方式,桌面;启动器,自定义图标,应用数据,基础,-
165,ClipboardPanel,特殊功能,剪贴板面板,复制粘贴;历史记录,多项管理,内容列表,基础,-
166,CloudSaveIndicator,特殊功能,云存档提示,云同步;存档,状态显示,当前状态,基础,-
167,ReconnectPrompt,特殊功能,断线重连提示,网络异常;重连,自动检测,当前状态,基础,-
168,MaintenanceNotice,特殊功能,维护公告,停服;更新,弹窗提示,内容文本,基础,-
169,GiftCodeInput,交互,礼包码输入,奖励兑换,输入校验,输入内容,基础,-
170,PromoBanner,信息展示,促销横幅,活动;商城,自动轮播,内容文本,基础,-
171,WeatherWidget,信息展示,天气组件,场景变化;活动,实时天气,天气数据,基础,-
172,RankingPanel,复合组件,排行榜面板,竞技;积分榜,多分类;分页,Panel+Tab+ListView,复合,-
173,PlayerCard,信息展示,玩家名片,社交;竞技,动态展示,玩家数据,基础,-
174,LoadingScreen,特殊功能,加载界面,场景切换;资源加载,进度显示,进度条;提示文本,基础,-
175,StartupSplash,特殊功能,启动闪屏,游戏启动,动画播放,图片/动画,基础,-
176,ErrorDialog,复合组件,错误弹窗,异常提示;报错,自动消失;可重试,Panel+Label+Button,复合,-
177,ReconnectButton,交互,重连按钮,网络异常;断线,自动重试,当前状态,基础,-
178,SettingsPanel,复合组件,设置面板,音量;画质;操作,多分类;滑块/开关,Panel+Tab+Slider+Toggle,复合,-
179,PrivacyPanel,复合组件,隐私面板,隐私设置;授权,多选项,Panel+Toggle+Label,复合,-
180,AboutPanel,复合组件,关于面板,版本信息;开发团队,多行文本,Panel+Label,复合,-
